table_name,header,value,domain
SOCR-HeightWeight.csv,LAND SQUARE FEET,71.31319,Dimension
Good_Food_Purchasing_Data_20250918.csv,Total Cost,67836.0,MonetaryValue
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,Latitude,1005357.0,Coordinate
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,Drop_Latitude,-73.870314,Coordinate
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,Drop_Latitude,191901.0,Coordinate
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,geo.latitude,201893.0,Coordinate
Good_Food_Purchasing_Data_20250918.csv,SALE PRICE,60557.0,MonetaryValue
Fee_Charges_20250918.csv,Payable,143361,MonetaryValue
SOCR-HeightWeight.csv,depth.value,68.02864,Dimension
NYC_Parks_Monuments_20250922.csv,Geo_Lat,225467.27450880408,Coordinate
Street_Pavement_Rating_20250922.csv,Breadth,260.666393203,Dimension
Brooklyn_Bridge_Automated_Pedestrian_Counts_Demonstration_Project_20250922.csv,AverageTemperature,46.0,Temperature
new_dataset_renamed.csv,X Coordinate,53.014064,Coordinate
Harbor_Water_Quality_20250922.csv,airtemp,18.1774,Temperature
bath_EMY.csv,temperature,23.5500002,Temperature
amazon_delivery.csv,Drop_Latitude,75.396017,Coordinate
new_dataset_renamed.csv,WGT,4.748 kg,Weight
new_dataset_renamed.csv,DollarAmount,3652,MonetaryValue
New_York_City_Climate_Projections__Temperature_and_Precipitation_20250922.csv,Top Sample Temperature (ºC),+4°F (+6.1°F to +12.1°F) +15.5°F,Temperature
Air_Quality_Testing_at_Saratoga_Village_20250922.csv,ClimaTemp,70.5,Temperature
amazon_delivery.csv,Store_Longitude,75.323503,Coordinate
GlobalLandTemperaturesByCountry.csv,ClimaTemp,2.3800000000000003,Temperature
DSNY_Salt_Usage_20250918.csv,NetWeight,944,Weight
human_vital_signs_dataset_2024.csv,Temp1 (°F),36.7297899808631,Temperature
Harbor_Water_Quality_20250922.csv,Thermal,21.70865,Temperature
new_dataset_renamed.csv,Range,1.18,Dimension
amazon_delivery.csv,Latitude,76.963303,Coordinate
Street_Pavement_Rating_20250922.csv,Height(Inches),31.2558393438,Dimension
bath_EMY.csv,Mean Temperature,8.5,Temperature
Air_Quality_Testing_at_Saratoga_Village_20250922.csv,Heat,74.3,Temperature
qdq3-9eqn_first_20000_rows.csv,TempC,69.60016667,Temperature
GlobalLandTemperaturesByCountry.csv,Temperature (°F),5.976999999999999,Temperature
Good_Food_Purchasing_Data_20250918.csv,RESORGANICSTONS,5292.0,Weight
NYC_Citywide_Rolling_Calendar_Sales_20250918.csv,ORIGINAL MARKET VALUE,3250000,MonetaryValue
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,X,-73.828503,Coordinate
Good_Food_Purchasing_Data_20250918.csv,SALE PRICE,449.0,MonetaryValue
Fee_Charges_20250918.csv,offers.price,448817,MonetaryValue
Revised_Notice_of_Property_Value__RNOPV__20250918.csv,CostUSD,108.0,MonetaryValue
amazon_delivery.csv,Y,15.566561,Coordinate
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,Lat,937747.0,Coordinate
New_York_City_Council_Discretionary_Funding_20250918.csv,Value,52083.33,MonetaryValue
Revised_Notice_of_Property_Value__RNOPV__20250918.csv,DollarAmount,18322.0,MonetaryValue
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,Latitude,40.772878,Coordinate
new_dataset_renamed.csv,FeeAmount,66.79,MonetaryValue
