table_name,header,value,domain
SOCR-HeightWeight.csv,Height(Inches),71.31319,Dimension
Good_Food_Purchasing_Data_20250918.csv,Total Cost,67836.0,MonetaryValue
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,X Coordinate,1005357.0,Coordinate
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,Longitude,-73.870314,Coordinate
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,Y Coordinate,191901.0,Coordinate
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,Y Coordinate,201893.0,Coordinate
Good_Food_Purchasing_Data_20250918.csv,Total Cost,60557.0,MonetaryValue
Fee_Charges_20250918.csv,FeeAmount,143361,MonetaryValue
SOCR-HeightWeight.csv,Height(Inches),68.02864,Dimension
NYC_Parks_Monuments_20250922.csv,Y,225467.27450880408,Coordinate
Street_Pavement_Rating_20250922.csv,Shape_STLe,260.666393203,Dimension
Brooklyn_Bridge_Automated_Pedestrian_Counts_Demonstration_Project_20250922.csv,temperature,46.0,Temperature
new_dataset_renamed.csv,geo.latitude,53.014064,Coordinate
Harbor_Water_Quality_20250922.csv,Top Sample Temperature (ºC),18.1774,Temperature
bath_EMY.csv,Temp,23.5500002,Temperature
amazon_delivery.csv,Drop_Longitude,75.396017,Coordinate
new_dataset_renamed.csv,weight,4.748 kg,Weight
new_dataset_renamed.csv,offers.price,3652,MonetaryValue
New_York_City_Climate_Projections__Temperature_and_Precipitation_20250922.csv,Mean Temperature,+4°F (+6.1°F to +12.1°F) +15.5°F,Temperature
Air_Quality_Testing_at_Saratoga_Village_20250922.csv,Temp1 (°F),70.5,Temperature
amazon_delivery.csv,Store_Longitude,75.323503,Coordinate
GlobalLandTemperaturesByCountry.csv,AverageTemperature,2.3800000000000003,Temperature
DSNY_Salt_Usage_20250918.csv,Total Tons,944,Weight
human_vital_signs_dataset_2024.csv,Body Temperature,36.7297899808631,Temperature
Harbor_Water_Quality_20250922.csv,Top Sample Temperature (ºC),21.70865,Temperature
new_dataset_renamed.csv,depth.value,1.18,Dimension
amazon_delivery.csv,Store_Longitude,76.963303,Coordinate
Street_Pavement_Rating_20250922.csv,Shape_STLe,31.2558393438,Dimension
bath_EMY.csv,Temp,8.5,Temperature
Air_Quality_Testing_at_Saratoga_Village_20250922.csv,Temp1 (°F),74.3,Temperature
qdq3-9eqn_first_20000_rows.csv,airtemp,69.60016667,Temperature
GlobalLandTemperaturesByCountry.csv,AverageTemperature,5.976999999999999,Temperature
Good_Food_Purchasing_Data_20250918.csv,Total Weight in lbs,5292.0,Weight
NYC_Citywide_Rolling_Calendar_Sales_20250918.csv,SALE PRICE,3250000,MonetaryValue
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,Longitude,-73.828503,Coordinate
Good_Food_Purchasing_Data_20250918.csv,Total Cost,449.0,MonetaryValue
Fee_Charges_20250918.csv,FeeAmount,448817,MonetaryValue
Revised_Notice_of_Property_Value__RNOPV__20250918.csv,REVISED TAXABLE VALUE,108.0,MonetaryValue
amazon_delivery.csv,Drop_Latitude,15.566561,Coordinate
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,X Coordinate,937747.0,Coordinate
New_York_City_Council_Discretionary_Funding_20250918.csv,Amount ($),52083.33,MonetaryValue
Revised_Notice_of_Property_Value__RNOPV__20250918.csv,REVISED TAXABLE VALUE,18322.0,MonetaryValue
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,Latitude,40.772878,Coordinate
new_dataset_renamed.csv,offers.price,66.79,MonetaryValue
qdq3-9eqn_first_20000_rows.csv,airtemp,81.3785,Temperature
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,X Coordinate,1040121.0,Coordinate
NYC_Citywide_Annualized_Calendar_Sales_Update_20250922.csv,LAND SQUARE FEET,"4,549",Dimension
NYC_Citywide_Annualized_Calendar_Sales_Update_20250922.csv,GROSS SQUARE FEET,"11,496",Dimension
SOCR-HeightWeight.csv,Weight(Pounds),142.1868,Weight
new_dataset_renamed.csv,weight,4.352 Kg.,Weight
