table_name,header,value,domain
SOCR-HeightWeight.csv,Height(Inches),71.31319,Dimension
Good_Food_Purchasing_Data_20250918.csv,fare__,67836.0,MonetaryValue
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,Y,1005357.0,Coordinate
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,Geo_Long,-73.870314,Coordinate
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,GeoX,191901.0,Coordinate
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,Y Coordinate,201893.0,Coordinate
Good_Food_Purchasing_Data_20250918.csv,MarketPrice,60557.0,MonetaryValue
Fee_Charges_20250918.csv,Payable,143361,MonetaryValue
SOCR-HeightWeight.csv,Extent,68.02864,Dimension
NYC_Parks_Monuments_20250922.csv,GeoY,225467.27450880408,Coordinate
Street_Pavement_Rating_20250922.csv,Height(Inches),260.666393203,Dimension
Brooklyn_Bridge_Automated_Pedestrian_Counts_Demonstration_Project_20250922.csv,water_heat_F,46.0,Temperature
new_dataset_renamed.csv,X,53.014064,Coordinate
Harbor_Water_Quality_20250922.csv,temperature,18.1774,Temperature
bath_EMY.csv,sens5Temp,23.5500002,Temperature
amazon_delivery.csv,Long,75.396017,Coordinate
new_dataset_renamed.csv,Load,4.748 kg,Weight
new_dataset_renamed.csv,FeeAmount,3652,MonetaryValue
New_York_City_Climate_Projections__Temperature_and_Precipitation_20250922.csv,calore_C°,+4°F (+6.1°F to +12.1°F) +15.5°F,Temperature
Air_Quality_Testing_at_Saratoga_Village_20250922.csv,AvgTemp,70.5,Temperature
amazon_delivery.csv,Store_Latitude,75.323503,Coordinate
GlobalLandTemperaturesByCountry.csv,avgT_num,2.3800000000000003,Temperature
DSNY_Salt_Usage_20250918.csv,cap__Kg,944,Weight
human_vital_signs_dataset_2024.csv,airtemp,36.7297899808631,Temperature
Harbor_Water_Quality_20250922.csv,Temp1 (°F),21.70865,Temperature
new_dataset_renamed.csv,hght_ft,1.18,Dimension
amazon_delivery.csv,l0ng_val,76.963303,Coordinate
Street_Pavement_Rating_20250922.csv,Volume,31.2558393438,Dimension
bath_EMY.csv,TempF,8.5,Temperature
Air_Quality_Testing_at_Saratoga_Village_20250922.csv,TempF,74.3,Temperature
qdq3-9eqn_first_20000_rows.csv,Temperature (°F),69.60016667,Temperature
GlobalLandTemperaturesByCountry.csv,T_deg,5.976999999999999,Temperature
Good_Food_Purchasing_Data_20250918.csv,weight.value,5292.0,Weight
NYC_Citywide_Rolling_Calendar_Sales_20250918.csv,actual_price,3250000,MonetaryValue
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,Long,-73.828503,Coordinate
Good_Food_Purchasing_Data_20250918.csv,Payable,449.0,MonetaryValue
Fee_Charges_20250918.csv,Price,448817,MonetaryValue
Revised_Notice_of_Property_Value__RNOPV__20250918.csv,amnt_£,108.0,MonetaryValue
amazon_delivery.csv,Longitude,15.566561,Coordinate
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,latVALx2,937747.0,Coordinate
New_York_City_Council_Discretionary_Funding_20250918.csv,ORIGINAL MARKET VALUE,52083.33,MonetaryValue
Revised_Notice_of_Property_Value__RNOPV__20250918.csv,USDxx_market_val,18322.0,MonetaryValue
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,_mapXYz_point001,40.772878,Coordinate
new_dataset_renamed.csv,Fee,66.79,MonetaryValue
qdq3-9eqn_first_20000_rows.csv,Thermal,81.3785,Temperature
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,geo.latitude,1040121.0,Coordinate
NYC_Citywide_Annualized_Calendar_Sales_Update_20250922.csv,Extent,"4,549",Dimension
NYC_Citywide_Annualized_Calendar_Sales_Update_20250922.csv,Range,"11,496",Dimension
SOCR-HeightWeight.csv,Tonnage,142.1868,Weight
new_dataset_renamed.csv,Weight (kg),4.352 Kg.,Weight
DSNY_Monthly_Tonnage_Data_20250918.csv,lbs:l0ad_val,177.1,Weight
Good_Food_Purchasing_Data_20250918.csv,PAPERTONS,2608.0,Weight
Revised_Notice_of_Property_Value__RNOPV__20250918.csv,prc__val$?,325762.0,MonetaryValue
NYC_Citywide_Annualized_Calendar_Sales_Update_20250922.csv,height,66427,Dimension
GlobalLandTemperaturesByCountry.csv,warmth_lvl1_C,8.455,Temperature
amazon_delivery.csv,Long,-26.482581,Coordinate
payment_amount_first_20000_rows.csv,Expense,75.95,MonetaryValue
Revised_Notice_of_Property_Value__RNOPV__20250918.csv,Payable,1752000.0,MonetaryValue
amazon_delivery.csv,co0rd__x1,18.55144,Coordinate
DSNY_Monthly_Tonnage_Data_20250918.csv,Weight(Pounds),80.5,Weight
new_dataset_renamed.csv,BodyMass,7.1 oz,Weight
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,_mapXYz_point001,987971.0,Coordinate
qdq3-9eqn_first_20000_rows.csv,Heat,56.87966667,Temperature
amazon_delivery.csv,X Coordinate,12.334022,Coordinate
GlobalLandTemperaturesByCountry.csv,Tscale,-30.643,Temperature
amazon_delivery.csv,gps__POS?,72.907385,Coordinate
Revised_Notice_of_Property_Value__RNOPV__20250918.csv,SALE PRICE,5760.0,MonetaryValue
Real_Property_Income_and_Expense_Form_non-compliance_list_20250922.csv,col_l,-73.928579,Coordinate
new_dataset_renamed.csv,net_Wgt_Val,12.83 lb,Weight
SOCR-HeightWeight.csv,RESORGANICSTONS,133.9987,Weight
DOE_Building_Space_Usage_20250922.csv,height,203.0,Dimension
human_vital_signs_dataset_2024.csv,AirTemp,36.90067999394882,Temperature
